episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
88,0.9399352595612037,-5.039925752228483,0.038652,0.1,0.117921,0.2,1292,712,1413,33364,37907,37902,0,0,0,0,4128,4122,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
89,0.9437189240999221,-5.0524466297862265,0.038385,0.1,0.117215,0.2,1235,644,1548,33386,38230,38224,0,0,0,0,4132,4141,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
90,0.9371541977387539,-5.120988984196386,0.038121,0.1,0.116513,0.2,1372,718,1549,33256,37987,37980,0,0,0,0,4177,4176,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
91,0.9393484010579466,-5.151358213583444,0.03786,0.1,0.115816,0.2,1309,709,1327,33272,37885,37881,0,0,0,0,4090,4104,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
92,0.9382120158292361,-5.175798827737666,0.037604,0.1,0.115123,0.2,1348,713,1402,33356,38142,38134,0,0,0,0,4067,4062,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
93,0.9390367932994317,-5.136730838872981,0.03735,0.1,0.114434,0.2,1187,851,1330,33430,38359,38349,0,0,0,0,3929,3940,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
94,0.9316483913724545,-5.176082308905007,0.0371,0.1,0.113749,0.2,1476,793,1380,33196,37834,37826,0,0,0,0,4044,4050,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
95,0.9399619093684816,-5.228663756671561,0.036854,0.1,0.113068,0.2,1163,823,1332,33079,37835,37826,0,0,0,0,4087,4099,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
96,0.9323281278047029,-5.290036264798953,0.03661,0.1,0.112391,0.2,1357,905,1451,33426,38263,38256,0,0,0,0,4131,4123,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
97,0.939963812179278,-5.264246631455507,0.03637,0.1,0.111718,0.2,1334,690,1387,33713,38404,38400,0,0,0,0,4150,4155,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
98,0.9388120763281274,-5.278539123199173,0.036133,0.1,0.11105,0.2,1262,787,1538,33487,38376,38368,0,0,0,0,4135,4137,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
99,0.9338530807119331,-5.3184155327496345,0.035899,0.1,0.110385,0.2,1415,774,1278,33093,37693,37688,0,0,0,0,4037,4037,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
100,0.9405481419424331,-5.258933887691293,0.035668,0.1,0.109724,0.2,1340,647,1621,33422,38323,38315,0,0,0,0,4156,4174,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
101,0.9423448030163584,-5.253055069712884,0.03544,0.1,0.109067,0.2,1273,669,1518,33683,38509,38504,0,0,0,0,4076,4083,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
102,0.9418825203011084,-5.230215603503856,0.035215,0.1,0.108415,0.2,1230,731,1381,33742,38731,38719,0,0,0,0,4049,4063,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
103,0.9454534428913617,-5.211363174079664,0.034993,0.1,0.107766,0.2,1118,681,1428,32981,38029,38023,0,0,0,0,4069,4069,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
104,0.9361290712429754,-5.1735765636098145,0.034774,0.1,0.107121,0.2,1369,745,1477,33098,37868,37863,0,0,0,0,3938,3938,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
105,0.9410976843859753,-5.202759002422991,0.034557,0.1,0.10648,0.2,1228,751,1403,33598,38501,38492,0,0,0,0,4018,4013,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
106,0.9401487321924559,-5.241827920268586,0.034343,0.1,0.105842,0.2,1204,800,1454,33483,38438,38435,0,0,0,0,4089,4084,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
107,0.9369494531480934,-5.2413195225438605,0.034131,0.1,0.105209,0.2,1398,735,1617,33830,38609,38601,0,0,0,0,4167,4166,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
108,0.9425294295200725,-5.234749062086385,0.033923,0.1,0.104579,0.2,1253,651,1306,33130,37955,37948,0,0,0,0,4042,4024,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
109,0.932356833493744,-5.297030970817561,0.033716,0.1,0.103953,0.2,1361,888,1515,33248,37895,37888,0,0,0,0,4139,4139,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
110,0.9460066162570888,-5.32460037006821,0.033512,0.1,0.103331,0.2,1161,667,1326,33856,38960,38959,0,0,0,0,4088,4088,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
111,0.9388714733542319,-5.34277064899033,0.033311,0.1,0.102712,0.2,1361,667,1335,33176,37960,37955,0,0,0,0,4107,4102,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
112,0.9373800959232614,-5.3876069042886074,0.033112,0.1,0.102098,0.2,1345,744,1257,33360,38108,38102,0,0,0,0,3992,4007,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
113,0.9398484984580376,-5.397795724313944,0.032916,0.1,0.101486,0.2,1245,764,1527,33399,38343,38337,0,0,0,0,4061,4074,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
114,0.9457780202461054,-5.394183709523404,0.032721,0.1,0.100879,0.2,1128,661,1308,32994,38043,38040,0,0,0,0,4100,4103,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
115,0.9436982851660871,-5.420385574268413,0.032529,0.1,0.100275,0.2,1250,628,1468,33356,38255,38249,0,0,0,0,4096,4107,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
116,0.936907105781278,-5.414490679862839,0.03234,0.1,0.099675,0.2,1451,664,1227,33522,38218,38212,0,0,0,0,4200,4185,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
117,0.9385128837307195,-5.417561253135476,0.032152,0.1,0.099078,0.2,1339,706,1422,33259,38027,38020,0,0,0,0,4005,4002,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
118,0.9440986281501178,-5.434755144027206,0.031967,0.1,0.098485,0.2,1211,639,1249,33094,37974,37970,0,0,0,0,4000,4006,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
119,0.9379927995477402,-5.4752289855157,0.031783,0.1,0.097896,0.2,1400,684,1431,33609,38252,38246,0,0,0,0,4127,4128,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
120,0.9335743334839585,-5.4991726842395705,0.031602,0.1,0.09731,0.2,1417,788,1298,33195,38026,38025,0,0,0,0,4041,4028,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
121,0.94224969392935,-5.491853819491843,0.031423,0.1,0.096727,0.2,1194,740,1378,33489,38517,38508,0,0,0,0,4048,4062,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
