episode,service_level,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
71,0.9227061763655837,-3.3115091604628675,-2.7713440789199733,-4.149108844786733,-4.507069521547741,0.043849,0.1,0.130591,0.2,1683,915,1190,33612,38019,38015,0,0,0,0,3267,3247,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.935851426520725,-3.2955571269468056,-2.766576770237089,-4.130815552210291,-4.515468438579491,0.043505,0.1,0.129809,0.2,1345,800,1370,33438,38289,38278,0,0,0,0,3257,3262,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.9368568045900246,-3.297624317497983,-2.776867765404879,-4.143667911863857,-4.531628466417093,0.043166,0.1,0.129032,0.2,1358,722,1232,32941,37767,37759,0,0,0,0,3316,3334,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9317454674724494,-3.306034614390564,-2.777919004106132,-4.1628935242737635,-4.5571367436328565,0.042833,0.1,0.12826,0.2,1631,673,1178,33756,38265,38259,0,0,0,0,3350,3335,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9309884238646483,-3.3274491223497895,-2.777294192595337,-4.170886867429217,-4.581586711859733,0.042504,0.1,0.127492,0.2,1556,769,1370,33690,38323,38318,0,0,0,0,3367,3361,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9374094640270401,-3.325082677171726,-2.788728472752324,-4.1755916752520115,-4.594602090138078,0.042181,0.1,0.126729,0.2,1305,769,1309,33136,37945,37940,0,0,0,0,3149,3142,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
77,0.9273384891345899,-3.346825685666939,-2.8071801226012054,-4.2095091204768815,-4.636152404649252,0.041862,0.1,0.125971,0.2,1688,783,1507,34007,38656,38651,0,0,0,0,3417,3427,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.9316613667726645,-3.357369953964963,-2.817006141450348,-4.2308646687912645,-4.672724382912613,0.041549,0.1,0.125217,0.2,1500,778,1126,33334,38192,38184,0,0,0,0,3373,3385,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9440538429180939,-3.3417305284633714,-2.813510905462143,-4.218080339696562,-4.679344404108717,0.04124,0.1,0.124467,0.2,1238,624,1353,33282,38132,38124,0,0,0,0,3276,3261,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.9350111028867506,-3.3368227674038886,-2.821327769298551,-4.226001213930175,-4.689711472361597,0.040935,0.1,0.123722,0.2,1453,742,1230,33775,38374,38366,0,0,0,0,3265,3250,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.9320620497952596,-3.333809163550822,-2.82385993475664,-4.213292133910894,-4.699478987915794,0.040635,0.1,0.122982,0.2,1485,788,1281,33457,38125,38119,0,0,0,0,3207,3213,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.9332816367920308,-3.348574391846872,-2.830144348068551,-4.222617243044162,-4.716251414174405,0.04034,0.1,0.122246,0.2,1446,791,1356,33529,38360,38355,0,0,0,0,3337,3334,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9406599970135882,-3.338064034527339,-2.825769372756371,-4.24138318138679,-4.739420685730284,0.040048,0.1,0.121514,0.2,1340,647,1476,33485,38405,38398,0,0,0,0,3343,3344,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
84,0.9319904633818316,-3.346241594995507,-2.836423631688238,-4.248197751684328,-4.766097019737626,0.039761,0.1,0.120787,0.2,1519,706,1205,32716,37422,37417,0,0,0,0,3307,3307,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
85,0.9270140209125475,-3.3689650108390987,-2.85140939113395,-4.288906038200858,-4.802948146790223,0.039478,0.1,0.120064,0.2,1657,800,1624,33664,38083,38074,0,0,0,0,3379,3388,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
86,0.9317929148763558,-3.374647588499913,-2.865674754402557,-4.298283678564603,-4.818190949706335,0.039199,0.1,0.119345,0.2,1560,710,1186,33281,37742,37730,0,0,0,0,3290,3290,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
87,0.9325077956344447,-3.389779462227236,-2.8804339224263953,-4.306961724744793,-4.837112088906782,0.038924,0.1,0.118631,0.2,1619,632,1271,33352,37886,37880,0,0,0,0,3257,3257,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
88,0.9337786374901771,-3.386369201010405,-2.8950360664576156,-4.313636639600573,-4.856555148933987,0.038652,0.1,0.117921,0.2,1563,628,1189,33086,37358,37353,0,0,0,0,3361,3354,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
89,0.9418133430109478,-3.3895501711988434,-2.8973488676136734,-4.292433097532499,-4.847986660831213,0.038385,0.1,0.117215,0.2,1373,551,1065,33066,37772,37769,0,0,0,0,3336,3341,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
90,0.9296416157257581,-3.3805779882310927,-2.8988013351801225,-4.280245286373541,-4.843872265803043,0.038121,0.1,0.116513,0.2,1557,791,1270,33372,37918,37911,0,0,0,0,3339,3338,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
91,0.9414090799323834,-3.3710463463776636,-2.897278506294757,-4.279758076317667,-4.848998109603611,0.03786,0.1,0.115816,0.2,1359,582,1254,33128,37691,37684,0,0,0,0,3444,3464,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
92,0.9365296803652968,-3.3661674714145495,-2.8974030538309465,-4.281876112031235,-4.86249172191359,0.037604,0.1,0.115123,0.2,1493,592,1149,32850,37491,37488,0,0,0,0,3286,3281,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
