rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,time_remaining_fraction,functional_bikes_time_penalty,reachable_imbalance_fraction,recoverable_imbalance_fraction,imbalance_hotspot_distance,destination_starv_ratio,destination_cong_ratio,destination_travel_penalty,destination_roi_starvation,cur_station_func_deficit,functional_load_late_pressure,non_depot_late_load_pressure
0.56189865,0.15324384,0.16014455,0.1285042,0.13977398,0.7692308,0.9714286,0.04477612,0.07462686,0.17800683,0.080659375,0.080412194,0.017659131,1.0,0.0,1.0,0.043378994,0.5513306,0.0,0.9,0.0019961551,0.0,0.0,0.15639035,0.16462143
0.5695959,0.1495237,0.16523367,0.12322342,0.14454834,0.7692308,0.9714286,0.029850746,0.07462686,0.17858014,0.08202422,0.078408316,0.019333247,1.0,0.0,1.0,0.042792793,0.26902273,0.0,0.5555556,0.001955268,0.0,0.0,0.16168468,0.17019439
0.5798589,0.16418038,0.16806509,0.13896659,0.14692393,0.86964285,0.9714286,0.04477612,0.07462686,0.19146028,0.08496412,0.0837262,0.02036382,1.0,0.0,1.0,0.042035397,0.16693035,0.0,1.0,0.0008643187,0.0,0.0,0.16591807,0.1746506
0.57729316,0.15560497,0.17211385,0.13148488,0.15066181,0.8432692,0.9714286,0.04477612,0.07462686,0.1872706,0.08843878,0.07958324,0.023087177,1.0,0.0,1.0,0.04222222,0.51502275,0.0,0.9,0.0019961551,0.0,0.0,0.17125213,0.18026541
0.58627325,0.1687096,0.17461513,0.14495634,0.15380092,0.90865386,0.98,0.05970149,0.08955224,0.19693168,0.090971254,0.08608824,0.025181603,1.0,0.0,1.0,0.04157549,0.20709372,0.0,0.5555556,0.001955268,0.0,0.0,0.17654645,0.18583837
0.5978191,0.1751082,0.17794967,0.15183792,0.15726669,0.97692305,0.98,0.07462686,0.08955224,0.20115985,0.09254645,0.08801294,0.026987847,1.0,0.0,1.0,0.04077253,0.18971454,0.0,1.0,0.0008643187,0.0,0.0,0.18077984,0.19029456
0.5939705,0.1722716,0.17785661,0.147334,0.15867718,0.9032967,1.0,0.05970149,0.08955224,0.20312406,0.09338086,0.08596949,0.027684797,1.0,0.0,1.0,0.041036718,0.49592322,0.0,0.9,0.0019961551,0.0,0.0,0.18611391,0.19590938
0.59140474,0.16915786,0.17570733,0.14332172,0.15765555,0.9032967,1.0,0.05970149,0.08955224,0.20721032,0.08997153,0.08489853,0.027905574,1.0,0.0,1.0,0.04121475,0.20886458,0.0,0.5555556,0.001955268,0.0,0.0,0.19140823,0.20148234
0.5849904,0.15975744,0.17561275,0.13343982,0.15795599,0.8625,1.0,0.04477612,0.08955224,0.2053353,0.0889566,0.080054164,0.028037142,1.0,0.0,1.0,0.041666668,0.18970068,0.0,1.0,0.0008643187,0.0,0.0,0.19564162,0.20593855
0.58242464,0.16098514,0.17724903,0.1356932,0.16130859,0.8625,1.0,0.04477612,0.104477614,0.21394789,0.08953549,0.08129817,0.030120637,1.0,0.0,1.0,0.04185022,0.4916522,0.0,0.9,0.0019961551,0.0,0.0,0.20097569,0.21155336
0.53367543,0.18640423,0.17427373,0.16307096,0.1607535,0.9302564,1.0,0.08955224,0.104477614,0.12290237,0.11079938,0.0352357,0.040189568,1.0,0.0,1.0,0.045673076,0.4343577,0.0,0.15789473,0.001955268,0.0,0.0,0.20627001,0.21712632
0.5388069,0.190905,0.17055878,0.16802414,0.15618089,0.97692305,1.0,0.08955224,0.104477614,0.13685359,0.11419079,0.03424705,0.03720144,1.0,0.0,1.0,0.045238096,0.2643826,0.0,0.71428573,0.019613668,0.0,0.0,0.22873673,0.24077551
0.5311097,0.18726009,0.17255855,0.16719714,0.15754822,0.93625,1.0,0.104477614,0.104477614,0.14215834,0.12544739,0.034080368,0.037549865,1.0,0.0,1.0,0.04589372,0.21977513,0.0,0.0,0.014959499,0.0,0.0,0.039484777,0.052646365
0.52469534,0.18151687,0.1732809,0.16354781,0.15903841,0.98125,1.0,0.08955224,0.104477614,0.14553198,0.12645157,0.033207763,0.037133694,1.0,0.0,1.0,0.04645477,0.33492976,0.9375,0.0,0.007403247,0.9375,0.0,0.0,0.014254798
