Seed,Day,Hour,Time (minutes),Station ID,Total Bikes,Usable Bikes,Unusable Bikes,Avg Maintenance Criticality,Capacity
1,0,13,780,S35,1,0,1,0.9008,24
1,0,13,780,S36,3,2,1,0.5037,21
1,0,13,780,S37,37,36,1,0.4027,37
1,0,13,780,S38,11,11,0,0.4164,19
1,0,13,780,S39,22,22,0,0.4345,36
1,0,13,780,S40,9,9,0,0.397,21
1,0,13,780,S41,13,13,0,0.4735,30
1,0,13,780,S42,5,5,0,0.4796,21
1,0,13,780,S43,19,19,0,0.3869,31
1,0,13,780,S44,18,18,0,0.5571,20
1,0,13,780,S45,4,4,0,0.4714,13
1,0,13,780,S46,5,5,0,0.3302,25
1,0,13,780,S47,12,11,1,0.5195,24
1,0,13,780,S48,9,9,0,0.4,17
1,0,13,780,S49,15,15,0,0.4697,21
1,0,13,780,S50,1,1,0,0.6241,30
1,0,13,780,S51,21,21,0,0.4117,22
1,0,13,780,S52,14,14,0,0.4547,19
1,0,13,780,S53,15,15,0,0.4809,31
1,0,13,780,S54,13,13,0,0.3552,24
1,0,13,780,S55,19,19,0,0.4452,31
1,0,13,780,S56,11,11,0,0.4887,12
1,0,13,780,S57,9,9,0,0.468,25
1,0,13,780,S58,16,16,0,0.4547,30
1,0,13,780,S59,28,28,0,0.4259,37
1,0,13,780,S60,19,17,2,0.4597,31
1,0,13,780,S61,14,14,0,0.5362,16
1,0,13,780,S62,19,19,0,0.4771,26
1,0,13,780,S63,9,9,0,0.303,28
1,0,13,780,S64,9,9,0,0.5235,13
1,0,13,780,S65,1,1,0,0.6432,25
1,0,13,780,S66,22,22,0,0.4217,24
1,0,14,840,S0,11,11,0,0.2727,21
1,0,14,840,S1,0,0,0,0.0,15
1,0,14,840,S2,10,10,0,0.4548,24
1,0,14,840,S3,14,14,0,0.4371,18
1,0,14,840,S4,2,2,0,0.6316,18
1,0,14,840,S5,11,11,0,0.4487,24
1,0,14,840,S6,15,15,0,0.4042,21
1,0,14,840,S7,3,3,0,0.5335,26
1,0,14,840,S8,13,13,0,0.3974,22
1,0,14,840,S9,7,7,0,0.4716,12
1,0,14,840,S10,0,0,0,0.0,18
1,0,14,840,S11,1,0,1,0.9492,17
1,0,14,840,S12,16,15,1,0.4084,24
1,0,14,840,S13,18,18,0,0.4489,29
1,0,14,840,S14,12,12,0,0.4884,13
1,0,14,840,S15,2,2,0,0.5012,27
1,0,14,840,S16,10,10,0,0.4884,15
1,0,14,840,S17,9,8,1,0.4728,25
1,0,14,840,S18,21,20,1,0.4274,24
1,0,14,840,S19,9,9,0,0.4663,13
1,0,14,840,S20,7,7,0,0.5278,18
1,0,14,840,S21,0,0,0,0.0,12
1,0,14,840,S22,6,6,0,0.3372,24
1,0,14,840,S23,13,13,0,0.3175,15
1,0,14,840,S24,8,8,0,0.47,24
1,0,14,840,S25,7,7,0,0.3502,24
